"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-03-01","16","21","7"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-03-02","16","24","10"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-03-03","23","26","15"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-03-04","22","25","15"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-03-05","18","25","10"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-03-06","16","24","8"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-03-07","23","28","18"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-03-08","23","28","22"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-03-09","30","38","27"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-03-10","31","35","23"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-03-11","26","28","19"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-03-12","28","37","18"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-03-13","32","38","27"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-03-14","32","38","23"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-03-15","29","35","22"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-03-16","34","42","31"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-03-17","35","40","31"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-03-18","36","41","34"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-03-19","37","41","26"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-03-20","32","39","25"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-03-21","30","34","23"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-03-22","26","35","20"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-03-23","27","36","19"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-03-24","26","39","15"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-03-25","26","37","14"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-03-26","28","37","21"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-03-27","29","36","21"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-03-28","34","39","31"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-03-29","33","38","29"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-03-30","32","37","28"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-03-31","30","37","24"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-04-01","31","45","23"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-04-02","36","41","29"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-04-03","31","34","25"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-04-04","26","30","20"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-04-05","29","42","23"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-04-06","32","40","21"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-04-07","34","47","26"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-04-08","38","51","28"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-04-09","43","49","36"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-04-10","42","50","34"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-04-11","42","49","35"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-04-12","41","53","31"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-04-13","45","52","36"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-04-14","43","53","32"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-04-15","41","50","29"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-04-16","40","49","30"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-04-17","41","47","30"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-04-18","40","45","34"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-04-19","40","53","32"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-04-20","44","49","39"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-04-21","41","47","35"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-04-22","40","49","31"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-04-23","44","51","37"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-04-24","46","50","35"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-04-25","43","51","39"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-04-26","44","48","35"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-04-27","41","47","34"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-04-28","40","45","37"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-04-29","43","46","42"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-04-30","45","52","43"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-05-01","45","50","39"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-05-02","42","47","36"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-05-03","42","46","38"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-05-04","42","47","39"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-05-05","44","51","40"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-05-06","45","51","37"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-05-07","40","51","34"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-05-08","45","58","36"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-05-09","49","56","42"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-05-10","52","58","46"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-05-11","49","54","44"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-05-12","48","53","41"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-05-13","45","59","32"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-05-14","49","55","43"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-05-15","45","53","39"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-05-16","47","51","40"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-05-17","47","54","41"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-05-18","47","55","44"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-05-19","51","54","46"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-05-20","48","54","44"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-05-21","49","56","43"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-05-22","52","61","45"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-05-23","52","57","47"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-05-24","50","56","42"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-05-25","50","58","43"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-05-26","51","59","46"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-05-27","53","64","44"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-05-28","54","61","48"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-05-29","53","60","48"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-05-30","51","57","47"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-05-31","51","61","45"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-06-01","53","67","44"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-06-02","57","72","46"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-06-03","58","61","48"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-06-04","51","57","43"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-06-05","51","64","41"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-06-06","51","58","46"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-06-07","54","63","43"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-06-08","55","66","46"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-06-09","58","66","50"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-06-10","57","69","47"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-06-11","57","62","49"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-06-12","53","61","48"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-06-13","54","65","43"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-06-14","59","71","49"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-06-15","61","61","50"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-06-16","53","61","50"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-06-17","58","63","54"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-06-18","56","63","51"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-06-19","58","63","54"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-06-20","59","72","52"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-06-21","65","65","57"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-06-22","57","58","51"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-06-23","53","61","50"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-06-24","55","59","50"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-06-25","56","64","51"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-06-26","57","67","50"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-06-27","58","62","54"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-06-28","58","68","53"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-06-29","60","65","54"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-06-30","57","63","51"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-07-01","58","71","47"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-07-02","63","76","52"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-07-03","66","80","54"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-07-04","65","72","55"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-07-05","64","75","55"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-07-06","67","80","57"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-07-07","70","76","62"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-07-08","65","64","58"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-07-09","60","64","54"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-07-10","57","60","52"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-07-11","54","60","52"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-07-12","56","66","50"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-07-13","59","66","52"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-07-14","56","64","51"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-07-15","57","66","50"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-07-16","59","69","51"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-07-17","59","69","52"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-07-18","60","70","48"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-07-19","60","68","50"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-07-20","57","65","49"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-07-21","61","74","51"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-07-22","63","69","55"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-07-23","63","69","57"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-07-24","62","67","57"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-07-25","59","64","56"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-07-26","61","67","58"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-07-27","61","66","57"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-07-28","60","66","55"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-07-29","62","74","54"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-07-30","66","71","56"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-07-31","63","75","56"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-08-01","63","67","56"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-08-02","59","62","56"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-08-03","59","75","54"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-08-04","66","74","57"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-08-05","65","66","62"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-08-06","65","69","60"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-08-07","60","66","55"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-08-08","58","64","52"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-08-09","58","66","53"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-08-10","60","68","50"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-08-11","60","64","54"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-08-12","60","71","55"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-08-13","61","61","56"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-08-14","57","59","54"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-08-15","56","60","53"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-08-16","56","63","51"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-08-17","57","61","51"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-08-18","55","61","45"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-08-19","55","58","48"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-08-20","57","60","55"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-08-21","57","58","55"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-08-22","58","66","53"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-08-23","57","57","53"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-08-24","55","61","53"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-08-25","56","61","48"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-08-26","56","60","53"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-08-27","58","61","50"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-08-28","56","66","48"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-08-29","56","64","44"
