DATE,Average Temperature,TMAX,TMIN,Average Wind Speed,PRCP,SNOW,SNWD,WDF2,WDF5,WSF2,WSF5
3/1/2018,61,67,48,8.95,0.36,0,0,350,210,18.1,25.1
3/2/2018,51,58,40,10.29,0,0,0,30,50,21,25.1
3/3/2018,48,63,34,8.05,0,0,0,20,30,15,25.1
3/4/2018,52,71,33,3.58,0,0,0,130,60,12.1,17
3/5/2018,54,59,48,6.93,0.11,0,0,140,150,13,17
3/6/2018,58,66,48,11.41,0.06,0,0,310,250,21.9,32
3/7/2018,45,48,32,10.96,0,0,0,310,300,21.9,32
3/8/2018,39,48,30,7.61,0,0,0,290,290,17,23.9
3/9/2018,42,63,26,6.04,0,0,0,220,210,16.1,21.9
3/10/2018,53,58,50,6.71,1.18,0,0,220,220,16.1,19.9
3/11/2018,57,60,40,8.72,0.2,0,0,320,300,21.9,30
3/12/2018,45,53,37,14.09,0,0,0,330,310,23.9,33.1
3/13/2018,43,56,30,9.17,0,0,0,300,290,18.1,28
3/14/2018,42,51,30,6.26,0,0,0,250,250,16.1,25.1
3/15/2018,47,69,30,7.16,0,0,0,240,260,18.1,23
3/16/2018,56,69,44,6.71,0,0,0,190,190,15,18.1
3/17/2018,66,79,58,10.29,0.07,0,0,260,230,21.9,27.1
3/18/2018,59,65,48,5.82,0.18,0,0,340,330,15,21
3/19/2018,60,71,53,6.71,0.17,0,0,190,190,21.9,27.1
3/20/2018,54,55,39,10.74,0,0,0,320,290,21.9,32
3/21/2018,42,54,34,11.41,0,0,0,320,320,23.9,31.1
3/22/2018,44,60,31,5.59,0,0,0,10,220,17,25.9
3/23/2018,49,63,38,4.92,0.01,0,0,110,110,12.1,13
3/24/2018,59,70,50,10.51,0.01,0,0,220,210,21,27.1
3/25/2018,64,69,53,8.05,0.11,0,0,140,140,19.9,25.1
3/26/2018,54,56,51,17.9,0,0,0,140,150,25.9,33.1
3/27/2018,54,65,49,12.75,0,0,0,140,140,21.9,25.1
3/28/2018,63,72,57,9.62,0,0,0,190,200,19.9,27.1
3/29/2018,64,70,55,7.38,0.85,0,0,270,260,17,28
3/30/2018,56,62,42,8.28,0,0,0,340,290,18.1,23.9
3/31/2018,52,69,37,5.82,0,0,0,210,210,14.1,19.9
4/1/2018,60,77,45,6.71,0,0,0,190,200,17,21.9
4/2/2018,64,76,50,5.14,0,0,0,250,260,15,19
4/3/2018,69,83,58,12.3,0.25,0,0,260,240,47,70
4/4/2018,58,62,40,11.63,0,0,0,310,320,28,36
4/5/2018,47,63,33,3.13,0,0,0,80,110,10.1,14.1
4/6/2018,51,54,45,4.7,1.01,0,0,150,150,14.1,16.1
4/7/2018,46,53,33,12.08,0.17,0,0,350,350,21.9,29.1
4/8/2018,41,56,30,4.7,0,0,0,80,90,13,18.1
4/9/2018,55,68,48,6.26,0,0,0,30,290,13,17
4/10/2018,57,69,43,7.83,0,0,0,330,300,15,19.9
4/11/2018,53,69,38,3.8,0,0,0,210,270,8.1,13
4/12/2018,63,82,46,10.74,0,0,0,230,200,21,27.1
4/13/2018,69,82,55,12.08,0,0,0,170,190,21.9,31.1
4/14/2018,66,69,60,11.18,3.77,0,0,250,250,25.9,33.1
4/15/2018,53,63,40,11.86,0.56,0,0,290,290,25.9,36
4/16/2018,42,54,37,11.18,0,0,0,270,290,23.9,30
4/17/2018,53,79,36,8.28,0,0,0,250,250,23,28
4/18/2018,67,80,55,12.08,0,0,0,230,220,23,28
4/19/2018,59,66,44,12.53,0,0,0,340,310,19.9,25.1
4/20/2018,53,72,38,5.82,0,0,0,110,100,13,19.9
4/21/2018,59,76,42,8.5,0,0,0,120,130,17,23.9
4/22/2018,63,66,59,17.67,1.9,0,0,120,120,36,49
4/23/2018,62,69,57,7.38,0.47,0,0,150,150,21.9,25.1
4/24/2018,61,70,57,7.38,0.02,0,0,270,260,19.9,23.9
4/25/2018,62,74,56,6.49,0,0,0,10,10,16.1,21.9
4/26/2018,60,61,51,6.71,0.88,0,0,110,110,21,27.1
4/27/2018,58,73,49,5.14,0,0,0,280,270,14.1,25.1
4/28/2018,63,79,49,7.61,0,0,0,10,360,19.9,23
4/29/2018,60,70,46,8.05,0,0,0,360,360,15,19.9
4/30/2018,58,77,41,3.8,0,0,0,160,160,13,15
5/1/2018,67,84,50,7.83,0,0,0,220,220,21.9,27.1
5/2/2018,72,86,61,7.83,0,0,0,210,220,17,25.1
5/3/2018,74,86,62,8.05,0,0,0,170,190,17,23.9
5/4/2018,75,85,66,6.26,0,0,0,220,220,18.1,23
5/5/2018,70,75,59,4.03,0.16,0,0,330,270,14.1,18.1
5/6/2018,67,81,57,5.82,0.09,0,0,360,360,36,49
5/7/2018,69,87,56,3.8,0,0,0,350,10,14.1,17
5/8/2018,70,85,57,2.46,0,0,0,250,290,12.1,17
5/9/2018,72,88,57,7.61,0,0,0,230,220,16.1,21.9
5/10/2018,78,90,64,7.38,0,0,0,240,240,21,25.1
5/11/2018,78,91,65,6.71,0,0,0,230,220,16.1,21.9
5/12/2018,77,91,63,4.25,0,0,0,240,250,15,25.1
5/13/2018,78,93,63,3.8,0,0,0,260,260,13,17
5/14/2018,80,95,66,3.58,0,0,0,20,20,13,16.1
5/15/2018,80,94,69,4.03,0.42,0,0,220,190,19.9,21.9
5/16/2018,75,88,67,4.03,0.33,0,0,300,300,18.1,23
5/17/2018,72,82,68,4.25,0,0,0,70,70,13,16.1
5/18/2018,72,83,67,5.14,0.12,0,0,240,230,18.1,21.9
5/19/2018,76,89,67,5.14,0,0,0,180,230,14.1,16.1
5/20/2018,79,93,69,4.7,0.01,0,0,60,60,28,36.9
5/21/2018,76,86,68,8.28,0,0,0,160,160,21,25.1
5/22/2018,77,88,70,4.47,0.56,0,0,30,40,21.9,25.1
5/23/2018,77,89,69,4.92,0,0,0,360,30,12.1,15
5/24/2018,81,92,68,3.13,0,0,0,190,10,12.1,15
5/25/2018,79,89,69,5.37,1.26,0,0,230,230,18.1,23.9
5/26/2018,74,85,69,3.36,0,0,0,150,150,8.9,12.1
5/27/2018,78,88,71,6.71,0.52,0,0,80,120,16.1,23
5/28/2018,74,79,71,8.05,0.01,0,0,100,70,19.9,23.9
5/29/2018,75,78,73,14.54,0.22,0,0,170,160,30,38
5/30/2018,76,85,69,8.5,0.47,0,0,260,260,30,36.9
5/31/2018,76,91,69,7.38,0,0,0,230,200,16.1,21
6/1/2018,78,84,70,5.37,0.4,0,0,330,330,23,30
6/2/2018,79,92,70,4.25,0,0,0,330,10,13,17
6/3/2018,80,89,68,8.05,0,0,0,330,340,19.9,23
6/4/2018,76,87,60,6.49,0,0,0,310,360,16.1,21
6/5/2018,74,86,61,3.8,0,0,0,240,230,15,18.1
6/6/2018,77,93,61,3.58,0,0,0,20,70,12.1,23
6/7/2018,80,95,67,4.25,0,0,0,350,20,12.1,17
6/8/2018,81,94,67,4.25,0,0,0,100,100,13,16.1
6/9/2018,82,95,71,4.25,0,0,0,110,110,16.1,18.1
6/10/2018,80,94,70,4.92,0,0,0,250,250,16.1,23
6/11/2018,80,92,71,6.49,0,0,0,240,230,15,19
6/12/2018,79,90,70,6.26,0.02,0,0,190,180,15,19
6/13/2018,76,82,73,5.14,0.92,0,0,230,240,16.1,19.9
6/14/2018,79,91,70,2.91,0,0,0,360,20,10.1,13
6/15/2018,83,96,72,4.03,0,0,0,60,50,13,16.1
6/16/2018,84,94,73,5.14,0,0,0,170,170,18.1,21.9
6/17/2018,82,95,70,4.47,0,0,0,180,170,16.1,19
6/18/2018,81,93,71,3.13,0.1,0,0,100,110,28,36
6/19/2018,83,94,71,4.7,0,0,0,320,300,17,21.9
6/20/2018,82,93,74,2.46,0,0,0,260,230,10.1,16.1
6/21/2018,79,86,69,8.5,1.17,0,0,240,230,19.9,25.1
6/22/2018,76,85,68,8.28,1.73,0,0,230,230,30,38.9
6/23/2018,74,81,69,6.49,0.19,0,0,240,240,16.1,19.9
6/24/2018,81,91,73,6.93,0,0,0,240,240,16.1,19.9
6/25/2018,81,89,74,5.82,0.07,0,0,290,290,25.9,36
6/26/2018,81,93,72,5.82,0.06,0,0,220,250,13,16.1
6/27/2018,83,92,75,7.61,0,0,0,210,220,15,19
6/28/2018,78,92,69,6.93,0.87,0,0,30,10,31.1,42.9
6/29/2018,78,92,69,3.8,0,0,0,180,280,12.1,15
6/30/2018,83,93,74,4.25,0,0,0,110,90,13,21
7/1/2018,83,92,74,4.92,0,0,0,160,120,12.1,15
7/2/2018,82,90,75,5.37,0.03,0,0,100,110,23.9,32
7/3/2018,82,93,75,6.26,0,0,0,130,130,18.1,21.9
7/4/2018,84,96,76,6.71,0,0,0,130,130,21.9,27.1
7/5/2018,82,92,74,5.14,0,0,0,150,350,14.1,19
7/6/2018,81,93,74,4.03,0.07,0,0,350,360,21.9,30
7/7/2018,79,90,72,6.04,0.49,0,0,70,80,21,23
7/8/2018,76,85,73,8.28,0,0,0,120,130,16.1,21
7/9/2018,79,89,71,4.92,0,0,0,110,120,10.1,13
7/10/2018,81,92,70,2.24,0,0,0,60,240,8.1,14.1
7/11/2018,83,93,75,2.91,0,0,0,320,310,12.1,15
7/12/2018,82,96,72,1.79,0.02,0,0,40,40,21,25.1
7/13/2018,83,94,75,3.58,0,0,0,170,180,12.1,14.1
7/14/2018,82,95,75,4.25,0,0,0,290,300,18.1,23
7/15/2018,79,89,74,2.91,0.09,0,0,150,190,8.9,13
7/16/2018,78,88,73,3.58,0.28,0,0,170,270,8.9,12.1
7/17/2018,79,90,73,3.58,1.11,0,0,300,310,21.9,29.1
7/18/2018,81,93,73,3.8,0,0,0,30,20,12.1,14.1
7/19/2018,81,91,71,3.8,0,0,0,130,140,8.9,11
7/20/2018,80,90,72,6.93,0,0,0,200,160,13,19.9
7/21/2018,83,92,73,6.71,0,0,0,150,290,16.1,21
7/22/2018,78,86,70,5.82,0,0,0,290,290,17,25.1
7/23/2018,77,86,70,6.26,0,0,0,340,340,15,21.9
7/24/2018,79,90,70,7.61,0,0,0,330,320,15,21.9
7/25/2018,80,93,68,4.92,0,0,0,310,310,13,16.1
7/26/2018,79,92,66,3.36,0,0,0,290,300,10.1,13
7/27/2018,78,88,68,2.91,0,0,0,300,300,8.9,13
7/28/2018,78,91,64,4.7,0,0,0,330,320,12.1,17
7/29/2018,80,91,66,2.91,0,0,0,250,250,10.1,15
7/30/2018,77,91,66,2.91,0.01,0,0,220,220,21,28
7/31/2018,79,90,70,5.14,0.32,0,0,140,150,18.1,21.9
8/1/2018,74,82,70,4.92,0,0,0,140,130,14.1,16.1
8/2/2018,76,89,70,3.36,0,0,0,110,,11,
8/3/2018,80,93,69,2.68,0,0,0,320,,6,
8/4/2018,81,93,69,4.47,0,0,0,160,,10.1,
8/5/2018,84,96,73,4.7,0,0,0,250,,8.9,
8/6/2018,82,96,72,3.36,0,0,0,270,,10.1,
8/7/2018,81,97,71,4.03,0,0,0,180,190,11,19.9
8/8/2018,80,93,73,6.26,0.33,0,0,260,260,32,49
8/9/2018,78,87,72,4.7,0.03,0,0,270,270,18.1,28
8/10/2018,80,90,73,5.37,0.15,0,0,300,280,10.1,16.1
8/11/2018,80,92,68,2.91,0,0,0,330,,8.9,
8/12/2018,82,94,71,3.58,0,0,0,300,,8.9,
8/13/2018,80,93,67,2.68,0,0,0,310,,8.1,
8/14/2018,79,94,66,2.91,0,0,0,340,,8.9,
8/15/2018,82,96,72,4.92,0,0,0,230,,8.9,
8/16/2018,83,94,72,6.71,0.16,0,0,290,290,17,28
8/17/2018,78,93,73,7.61,0.24,0,0,290,290,14.1,25.1
8/18/2018,78,86,75,6.71,0,0,0,250,,11,
8/19/2018,80,88,74,5.37,0,0,0,190,,10.1,
8/20/2018,79,89,74,7.61,0.28,0,0,180,210,13,18.1
8/21/2018,79,88,73,7.38,0.02,0,0,270,270,14.1,21.9
8/22/2018,77,86,68,6.49,0,0,0,330,,14.1,
8/23/2018,75,86,63,5.82,0,0,0,50,,11,
8/24/2018,74,88,61,7.83,0,0,0,160,140,13,17
8/25/2018,79,90,70,6.93,0,0,0,180,150,11,16.1
8/26/2018,81,95,71,5.37,0,0,0,140,,8.9,
8/27/2018,82,96,69,4.7,0,0,0,150,180,11,17
8/28/2018,83,97,72,5.59,0,0,0,170,170,15,25.9
8/29/2018,83,96,73,4.25,0,0,0,240,,10.1,
8/30/2018,80,93,71,4.92,0,0,0,150,,8.1,
8/31/2018,80,90,72,6.71,0.03,0,0,180,190,21.9,29.1
9/1/2018,81,95,69,6.93,0,0,0,140,170,16.1,21
9/2/2018,83,96,73,9.4,0,0,0,140,120,21,25.9
9/3/2018,83,95,72,8.5,0,0,0,150,140,17,27.1
9/4/2018,83,94,72,8.28,0,0,0,130,130,19.9,25.1
9/5/2018,80,85,77,7.38,0,0,0,120,100,16.1,19.9
9/6/2018,81,94,75,7.83,0,0,0,140,160,19.9,23
9/7/2018,82,96,73,6.04,0,0,0,150,140,14.1,21
9/8/2018,82,96,72,6.26,0,0,0,220,220,17,23
9/9/2018,78,87,70,6.93,0.74,0,0,230,220,21,28
9/10/2018,71,74,65,6.04,0.49,0,0,330,340,12.1,14.1
9/11/2018,72,86,65,4.25,0,0,0,360,40,10.1,13
9/12/2018,78,94,67,2.46,0.06,0,0,300,310,12.1,14.1
9/13/2018,80,92,73,4.03,1.54,0,0,40,40,29.1,35.1
9/14/2018,82,96,72,5.37,0,0,0,50,50,15,19.9
9/15/2018,84,96,71,8.5,0,0,0,30,40,18.1,23.9
9/16/2018,82,94,71,7.61,0,0,0,20,20,17,21.9
9/17/2018,79,92,71,3.8,0,0,0,40,40,13,17
9/18/2018,81,94,69,2.24,0,0,0,360,350,13,16.1
9/19/2018,81,97,68,2.24,0,0,0,260,160,6.9,11
9/20/2018,83,97,71,4.7,0,0,0,100,120,14.1,18.1
9/21/2018,83,90,75,5.37,0.34,0,0,150,140,18.1,21.9
9/22/2018,80,91,73,4.03,0.02,0,0,340,330,12.1,15
9/23/2018,79,90,73,4.92,0.07,0,0,160,170,18.1,23.9
9/24/2018,77,87,72,7.16,0.06,0,0,160,130,21.9,28
9/25/2018,77,90,73,7.38,0.23,0,0,190,180,17,21.9
9/26/2018,74,75,70,4.25,1.43,0,0,310,310,15,17
9/27/2018,73,78,65,5.82,0.24,0,0,350,310,14.1,19.9
9/28/2018,69,78,64,2.91,0,0,0,290,230,6.9,13
9/29/2018,72,86,62,2.01,0,0,0,20,350,6.9,10.1
9/30/2018,76,88,67,5.14,0,0,0,110,130,12.1,14.1
10/1/2018,77,86,72,7.38,0.03,0,0,170,180,16.1,21
10/2/2018,77,89,71,3.8,0,0,0,240,220,8.9,13
10/3/2018,78,89,69,4.7,0,0,0,160,160,8.9,12.1
10/4/2018,78,92,69,2.68,0,0,0,240,260,10.1,12.1
10/5/2018,79,91,69,2.68,0,0,0,220,140,8.9,12.1
10/6/2018,79,91,70,2.91,0,0,0,230,230,10.1,13
10/7/2018,79,90,69,6.26,0,0,0,130,140,16.1,19.9
10/8/2018,77,88,68,9.17,0,0,0,120,120,17,21.9
10/9/2018,77,84,73,12.08,0,0,0,120,120,21.9,29.1
10/10/2018,77,81,72,6.93,0.02,0,0,130,130,19.9,23.9
10/11/2018,72,75,52,10.29,0,0,0,310,300,17,21.9
10/12/2018,59,73,47,4.7,0,0,0,40,310,13,16.1
10/13/2018,63,73,56,5.59,0.07,0,0,50,60,13,17
10/14/2018,67,81,59,8.5,0,0,0,190,210,16.1,23
10/15/2018,72,82,57,7.38,0.04,0,0,340,340,17,25.9
10/16/2018,58,60,56,5.82,0.92,0,0,10,350,13,17
10/17/2018,60,72,54,7.16,0.09,0,0,20,20,14.1,19.9
10/18/2018,59,71,50,5.59,0,0,0,20,20,12.1,15
10/19/2018,60,78,46,4.7,0,0,0,190,160,14.1,18.1
10/20/2018,63,68,51,6.93,0.28,0,0,310,320,14.1,19.9
10/21/2018,51,61,38,9.17,0,0,0,20,10,21.9,28
10/22/2018,50,68,36,3.58,0,0,0,130,190,10.1,14.1
10/23/2018,54,71,43,1.34,0,0,0,360,340,6.9,8.9
10/24/2018,54,73,39,4.7,0,0,0,50,40,12.1,14.1
10/25/2018,56,62,51,11.63,0.75,0,0,120,120,19.9,25.9
10/26/2018,54,60,51,9.62,0.14,0,0,270,260,17,23.9
10/27/2018,55,63,46,6.49,0,0,0,300,240,17,27.1
10/28/2018,58,80,44,7.38,0,0,0,230,210,21,28
10/29/2018,59,71,42,2.24,0,0,0,50,10,10.1,15
10/30/2018,57,76,44,6.93,0,0,0,160,180,14.1,21
10/31/2018,66,78,59,10.07,0,0,0,160,170,19.9,28
11/1/2018,68,69,54,12.08,0.93,0,0,180,170,28,38
11/2/2018,53,56,45,5.59,0,0,0,330,320,15,19.9
11/3/2018,52,67,40,6.26,0,0,0,110,150,8.9,13
11/4/2018,55,67,47,10.07,0.28,0,0,150,150,25.9,34
11/5/2018,56,73,48,9.4,0,0,0,190,190,23,35.1
11/6/2018,67,74,49,4.7,1.05,0,0,300,200,25.1,36
11/7/2018,53,62,45,5.82,0.06,0,0,330,330,15,19
11/8/2018,54,55,51,6.26,0.03,0,0,10,10,14.1,17
11/9/2018,52,56,38,8.05,0.63,0,0,340,350,17,23
11/10/2018,40,47,30,8.05,0,0,0,40,30,18.1,23.9
11/11/2018,39,54,27,4.92,0,0,0,110,110,13,18.1
11/12/2018,48,52,45,7.38,1.32,0,0,100,110,14.1,17
11/13/2018,46,50,36,11.41,0.05,0,0,10,20,17,25.1
11/14/2018,39,43,36,6.93,0.72,0,0,20,30,16.1,19.9
11/15/2018,35,36,30,8.05,0,0,0,260,270,17,21
11/16/2018,39,59,27,3.8,0,0,0,240,230,8.1,11
11/17/2018,47,67,33,2.91,0,0,0,330,350,8.1,13
11/18/2018,49,65,38,3.8,0,0,0,160,70,6.9,11
11/19/2018,50,62,41,6.71,0.01,0,0,230,220,15,19.9
11/20/2018,47,50,34,5.82,0,0,0,310,350,13,18.1
11/21/2018,41,55,28,4.92,0,0,0,350,30,10.1,14.1
11/22/2018,44,64,31,2.91,0,0,0,100,130,8.1,10.1
11/23/2018,46,52,37,13.65,0.23,0,0,140,120,25.1,31.1
11/24/2018,51,61,41,7.16,0,0,0,160,160,18.1,23
11/25/2018,50,63,40,12.08,0,0,0,270,270,30,36.9
11/26/2018,45,56,34,12.75,0,0,0,270,260,25.9,35.1
11/27/2018,34,39,26,8.05,0,0,0,260,270,17,23.9
11/28/2018,32,47,21,3.36,0,0,0,100,170,8.1,11
11/29/2018,44,63,32,9.17,0.06,0,0,190,210,19.9,25.1
11/30/2018,61,65,59,10.29,0.9,0,0,210,220,19.9,25.1
12/1/2018,60,68,56,14.32,0.52,0,0,140,140,23,32
12/2/2018,63,72,50,9.62,0,0,0,250,250,23,33.1
12/3/2018,51,56,40,6.71,0,0,0,320,310,15,19
12/4/2018,43,48,33,7.83,0,0,0,320,310,14.1,17
12/5/2018,35,43,27,7.61,0,0,0,310,340,17,23.9
12/6/2018,35,49,25,3.36,0,0,0,150,140,13,16.1
12/7/2018,44,45,41,2.24,0.15,0,0,60,60,8.1,10.1
12/8/2018,43,46,41,9.62,2.04,0,0,100,110,31.1,42.9
12/9/2018,43,46,37,8.05,0.6,0,0,330,340,15,19.9
12/10/2018,38,41,30,6.49,0.15,0,0,330,360,13,15
12/11/2018,35,46,25,3.36,0,0,0,250,230,6.9,8.9
12/12/2018,38,52,30,6.04,0,0,0,220,200,14.1,17
12/13/2018,49,60,43,10.51,0,0,0,120,120,19.9,25.9
12/14/2018,53,56,51,13.42,1.5,0,0,110,110,23,30
12/15/2018,52,56,47,7.16,0.02,0,0,240,240,18.1,21.9
12/16/2018,52,61,43,6.93,0,0,0,290,280,15,21
12/17/2018,47,59,37,2.91,0,0,0,240,220,8.9,11
12/18/2018,43,58,32,4.03,0,0,0,270,270,12.1,13
12/19/2018,44,56,37,5.14,0.05,0,0,120,110,15,18.1
12/20/2018,50,51,48,6.26,1.02,0,0,110,120,17,23
12/21/2018,45,48,39,13.42,0.16,0,0,310,310,21,28
12/22/2018,40,53,30,4.47,0,0,0,120,210,8.1,11
12/23/2018,47,55,38,9.4,0.01,0,0,290,290,19.9,25.1
12/24/2018,40,51,29,4.25,0,0,0,70,70,13,18.1
12/25/2018,40,50,32,3.8,0.01,0,0,130,130,10.1,11
12/26/2018,52,63,46,9.62,0,0,0,130,150,18.1,23
12/27/2018,55,60,50,17.67,2.12,0,0,140,150,33.1,44.1
12/28/2018,58,65,47,6.93,0.95,0,0,110,290,19.9,21.9
12/29/2018,46,52,39,6.04,0,0,0,20,20,15,17
12/30/2018,48,57,43,7.61,0,0,0,130,20,14.1,17
12/31/2018,62,74,57,11.86,0.5,0,0,190,280,31.1,45
1/1/2019,57,60,46,5.59,0,0,0,20,30,13,16.1
1/2/2019,47,50,45,3.58,0.85,0,0,130,130,10.1,11
1/3/2019,49,52,47,5.37,0.44,0,0,10,20,15,18.1
1/4/2019,53,62,44,14.54,0.4,0,0,100,240,25.9,33.1
1/5/2019,46,58,37,5.14,0,0,0,290,290,17,21.9
1/6/2019,48,66,36,2.24,0,0,0,120,120,6.9,6.9
1/7/2019,52,66,42,9.62,0,0,0,170,160,21,25.1
1/8/2019,61,68,47,10.29,0,0,0,330,330,17,21.9
1/9/2019,47,50,35,10.51,0,0,0,330,290,19.9,27.1
1/10/2019,36,43,28,8.95,0,0,0,10,10,16.1,19
1/11/2019,35,51,25,4.7,0,0,0,60,130,8.9,12.1
1/12/2019,45,49,39,12.3,0.45,0,0,130,130,23,28
1/13/2019,45,47,40,9.17,0.01,0,0,260,270,15,21.9
1/14/2019,39,40,37,6.71,0,0,0,330,240,12.1,17
1/15/2019,37,39,31,4.7,0,0,0,30,350,13,16.1
1/16/2019,37,52,27,2.46,0,0,0,100,170,6,10.1
1/17/2019,42,49,34,6.04,0.48,0,0,120,130,13,16.1
1/18/2019,51,60,48,2.91,0,0,0,110,130,15,18.1
1/19/2019,55,62,34,13.2,2.69,0,0,290,220,28,38
1/20/2019,35,36,25,13.42,0,0,0,320,310,25.1,35.1
1/21/2019,29,39,22,8.72,0,0,0,20,30,15,19
1/22/2019,39,54,30,15.21,0,0,0,130,140,25.9,31.1
1/23/2019,51,59,39,13.42,1.69,0,0,150,150,25.9,34
1/24/2019,39,42,31,8.72,0.02,0,0,310,300,16.1,23
1/25/2019,35,42,28,4.47,0,0,0,350,350,12.1,15
1/26/2019,36,50,27,4.03,0,0,0,320,300,12.1,14.1
1/27/2019,42,57,31,3.58,0,0,0,310,330,13,16.1
1/28/2019,44,61,31,8.05,0,0,0,220,220,23,27.1
1/29/2019,39,47,24,9.62,0.12,0,0,330,320,21,28
1/30/2019,29,39,23,6.04,0,0,0,330,330,16.1,19.9
1/31/2019,33,51,22,4.25,0,0,0,100,90,8.9,11
2/1/2019,48,64,38,4.92,0,0,0,180,210,14.1,18.1
2/2/2019,51,70,36,4.92,0,0,0,140,130,12.1,14.1
2/3/2019,55,67,47,4.03,0,0,0,150,180,12.1,15
2/4/2019,56,66,49,7.16,0.04,0,0,170,190,16.1,21
2/5/2019,63,72,59,6.04,0.03,0,0,180,190,13,15
2/6/2019,67,73,64,11.41,0.04,0,0,210,210,21,28
2/7/2019,71,78,51,14.99,0.16,0,0,190,190,31.1,42.1
2/8/2019,46,51,33,12.3,0,0,0,20,320,19.9,25.9
2/9/2019,37,53,29,8.95,0,0,0,20,30,21,25.9
2/10/2019,46,49,42,9.84,0.03,0,0,140,140,19.9,23.9
2/11/2019,51,61,47,8.5,0.01,0,0,150,140,16.1,19
2/12/2019,59,67,38,10.29,1.06,0,0,290,290,23.9,34
2/13/2019,43,56,33,5.82,0,0,0,290,260,13,21
2/14/2019,47,62,36,10.29,0,0,0,190,180,21,29.1
2/15/2019,58,62,50,7.38,0.6,0,0,230,240,21,29.1
2/16/2019,45,51,40,7.61,0.22,0,0,350,350,18.1,23
2/17/2019,51,63,43,7.83,0.94,0,0,290,290,19.9,25.1
2/18/2019,45,48,37,10.07,0,0,0,30,350,16.1,21
2/19/2019,38,46,34,11.18,2.5,0,0,100,100,25.1,31.1
2/20/2019,49,56,45,13.87,0.48,0,0,140,140,31.1,36.9
2/21/2019,51,54,46,9.62,1.42,0,0,50,60,21.9,25.9
2/22/2019,51,56,49,7.16,1.58,0,0,120,130,18.1,21
2/23/2019,57,71,54,12.75,3.4,0,0,260,260,29.1,36
2/24/2019,59,68,39,12.53,0,0,0,290,290,30,40.9
2/25/2019,45,58,34,4.92,0,0,0,40,40,17,19.9
2/26/2019,53,68,42,4.03,0,0,0,170,110,8.9,12.1
2/27/2019,58,73,49,3.13,0.08,0,0,300,300,10.1,13
2/28/2019,60,64,55,5.59,1.04,0,0,320,170,13,21
3/1/2019,52,55,44,6.93,0.14,0,0,270,270,14.1,19
